Ticker	Date	Price	Model	Actual	Forecast
IBM	2014-06-04	close	KNN	 184.51	 191.08
IBM	2014-06-04	close	SAX	 184.51	 186.67
IBM	2014-06-04	close	LSTM	 184.51	 186.96
IBM	2014-09-08	close	MA	 190.14	 191.54
IBM	2014-09-08	close	EWMA	 190.14	 191.30
IBM	2014-09-08	close	ARIMA	 190.14	 190.88
IBM	2014-09-08	close	KNN	 190.14	 190.61
IBM	2014-09-08	close	SAX	 190.14	 191.11
IBM	2014-09-08	close	LSTM	 190.14	 190.94
IBM	2014-12-10	close	MA	 160.51	 163.34
IBM	2014-12-10	close	EWMA	 160.51	 162.67
IBM	2014-12-10	close	ARIMA	 160.51	 163.24
IBM	2014-12-10	close	KNN	 160.51	 161.68
IBM	2014-12-10	close	SAX	 160.51	 161.72
IBM	2014-12-10	close	LSTM	 160.51	 183.50
IBM	2015-03-19	close	MA	 159.81	 157.22
IBM	2015-03-19	close	EWMA	 159.81	 157.66
IBM	2015-03-19	close	ARIMA	 159.81	 159.96
IBM	2015-03-19	close	KNN	 159.81	 157.54
IBM	2015-03-19	close	SAX	 159.81	 159.34
IBM	2015-03-19	close	LSTM	 159.81	 170.21
IBM	2015-06-23	close	MA	 168.62	 167.40
IBM	2015-06-23	close	EWMA	 168.62	 167.59
IBM	2015-06-23	close	ARIMA	 168.62	 167.80
IBM	2015-06-23	close	KNN	 168.62	 167.22
IBM	2015-06-23	close	SAX	 168.62	 168.80
IBM	2015-06-23	close	LSTM	 168.62	 168.08
IBM	2015-09-25	close	MA	 145.42	 144.70
IBM	2015-09-25	close	EWMA	 145.42	 144.09
IBM	2015-09-25	close	ARIMA	 145.42	 144.62
IBM	2015-09-25	close	KNN	 145.42	 160.53
IBM	2015-09-25	close	SAX	 145.42	 154.59
IBM	2015-09-25	close	LSTM	 145.42	 163.94
IBM	2015-12-30	close	MA	 139.34	 138.42
IBM	2015-12-30	close	EWMA	 139.34	 138.91
IBM	2015-12-30	close	ARIMA	 139.34	 140.00
IBM	2015-12-30	close	KNN	 139.34	 137.52
IBM	2015-12-30	close	SAX	 139.34	 138.53
IBM	2015-12-30	close	LSTM	 139.34	 157.58
IBM	2016-04-07	close	MA	 148.25	 151.21
IBM	2016-04-07	close	EWMA	 148.25	 151.24
